"","Title","Genre","Developer(s)","Publisher(s)","Release date","Release date","Release date"
"458","Mafia: The City of Lost Heaven","Action-Adventure","Illusion Softworks","Gathering of Developers","April 8, 2004","Unreleased","March 13, 2004"
"459","Magatama","Action","Xbox Game Studios Japan","Xbox Game Studios","Unreleased","November 20, 2003","Unreleased"
"460","Magic the Gathering: Battlegrounds","Real-time strategy","Secret Level","Atari","November 21, 2003","Unreleased","November 18, 2003"
"461","Magi Death Fight: Mahou Gakuen","Action","","","Unreleased","June 4, 2002","Unreleased"
"462","Major League Baseball 2K5","Sports","Kush Games","2K Games","Unreleased","Unreleased","February 23, 2005"
"463","Major League Baseball 2K6","Sports","Kush Games","2K Games","Unreleased","Unreleased","April 3, 2006"
"464","Major League Baseball 2K7","Sports","Kush Games","2K Games","Unreleased","Unreleased","February 27, 2007"
"465","Malice","Platformer","Argonaut Games","Mud Duck Productions","August 6, 2004","Unreleased","June 2, 2004"
"466","Manchester United Manager 2005","Sports","Codemasters","Codemasters","Unreleased","Unreleased","October 31, 2004"
"467","Manhunt","Stealth/Survival Horror","Rockstar North","Rockstar Games","April 23, 2004","Unreleased","April 20, 2004"
"468","Marc Ecko's Getting Up: Contents Under Pressure","Beat 'em up/Action-Adventure","The Collective","Atari","February 24, 2006","Unreleased","February 14, 2006"
"469","Marvel: Ultimate Alliance","Action RPG","Raven Software","Activision","October 27, 2006","Unreleased","October 24, 2006"
"470","Marvel Nemesis: Rise of the Imperfects","Fighting","Nihilistic Software","EA Games","October 14, 2005","Unreleased","September 20, 2005"
"471","Marvel vs. Capcom 2","Fighting","Capcom","Capcom","November 29, 2002","September 19, 2002","March 30, 2003"
"472","Mashed: Fully Loaded","Racing","Supersonic Software","Empire Interactive","March 30, 2005","Unreleased","Unreleased"
"473","Mat Hoffman's Pro BMX 2","Sports","Rainbow Studios","Activision O2","October 4, 2002","Unreleased","August 12, 2002"
"474","The Matrix: Path of Neo","Third-person Action-Adventure","Shiny Entertainment","Atari","November 11, 2005","Unreleased","November 7, 2005"
"475","Max Payne","Third-person shooter","Rockstar Vienna","Rockstar Games","March 14, 2002","Unreleased","December 12, 2001"
"476","Max Payne 2: The Fall of Max Payne","Third-person shooter","Rockstar Vienna","Rockstar Games","December 5, 2003","Unreleased","November 25, 2003"
"477","Maximum Chase","Action/Driving/Vehicular combat","Genki","Majesco Entertainment","Unreleased","Unreleased","November 6, 2003"
"478","MechAssault","Action/Fighting/Mecha","Day 1 Studios","Xbox Game Studios","November 22, 2002","June 12, 2003","November 11, 2002"
"479","MechAssault 2: Lone Wolf","Action/Fighting/Mecha","Day 1 Studios","Xbox Game Studios","January 1, 2005","February 4, 2005","December 28, 2004"
"480","Medal of Honor: European Assault","First-person shooter","EA Los Angeles","EA Games","June 17, 2005","Unreleased","June 7, 2005"
"481","Medal of Honor: Frontline","First-person shooter","2015","EA Games","December 6, 2002","Unreleased","November 10, 2002"
"482","Medal of Honor: Rising Sun","First-person shooter","EA Los Angeles","EA Games","November 28, 2003","Unreleased","November 11, 2003"
"483","Mega Man Anniversary Collection","Platformer/Compilation","Atomic Planet, Capcom Production Studio 2","Capcom","Unreleased","Unreleased","March 15, 2005"
"484","Melbourne Cup Challenge Frankie Dettori Racing (EUR)","Racing (Horse)","Sidhe Interactive","Home Entertainment Providers","December 8, 2006","Unreleased","Unreleased"
"485","Men of Valor","First-person shooter","2015","Vivendi Universal Games","November 5, 2004","Unreleased","October 19, 2004"
"486","Mercenaries: Playground of Destruction","Action-Adventure","Pandemic Studios","LucasArts","February 18, 2005","April 28, 2005","January 11, 2005"
"487","Metal Arms: Glitch in the System","Third-person shooter/Action-Adventure","Swingin' Ape Studios","Vivendi Universal Games","December 5, 2003","Unreleased","November 18, 2003"
"488","Metal Dungeon","RPG","Panther Software","Xicat Interactive","December 15, 2002","February 28, 2002","December 6, 2002"
"489","Metal Gear Solid 2: Substance","Stealth/Action-Adventure","Konami","Konami","March 7, 2003","Unreleased","November 5, 2002"
"490","Metal Slug 3","Run and gun","SNK Playmore","SNK Playmore","November 12, 2004","June 24, 2004","May 26, 2004"
"491","Metal Slug 4","Run and gun","Mega Enterprise","SNK Playmore","October 14, 2005","February 24, 2005","Unreleased"
"492","Metal Slug 5","Run and gun","SNK Playmore","SNK Playmore","March 10, 2006","June 25, 2005","Unreleased"
"493","Metal Wolf Chaos","Third-person shooter","FromSoftware","FromSoftware","Unreleased","December 22, 2004","Unreleased"
"494","Miami Vice","Action/Third-person shooter","Davilex Games","Davilex Games","December 17, 2004","Unreleased","Unreleased"
"495","Micro Machines","Racing","Infogrames Sheffield House","Infogrames","November 8, 2002","Unreleased","Unreleased"
"496","Midnight Club II","Racing","Rockstar San Diego","Rockstar Games","June 30, 2003","Unreleased","June 3, 2003"
"497","Midnight Club 3: DUB Edition","Racing","Rockstar San Diego","Rockstar Games","December 10, 2004","Unreleased","April 13, 2005"
"498","Midnight Club 3: DUB Edition Remix","Racing","Rockstar San Diego","Rockstar Games","March 17, 2006","Unreleased","March 12, 2006"
"499","Midtown Madness 3","Racing","Digital Illusions CE","Xbox Game Studios","June 27, 2003","August 7, 2003","June 17, 2003"
"500","Midway Arcade Treasures","Arcade Compilations","Digital Eclipse Software","Midway Games","February 6, 2004","Unreleased","November 24, 2003"
"501","Midway Arcade Treasures 2","Arcade Compilations","Digital Eclipse Software","Midway Games","October 29, 2004","Unreleased","October 11, 2004"
"502","Midway Arcade Treasures 3","Arcade Compilations","Midway Games","Midway Games","October 14, 2005","Unreleased","September 26, 2005"
"503","Mike Tyson Heavyweight Boxing","Boxing","Atomic Planet","Codemasters","July 3, 2003","Unreleased","July 16, 2002"
"504","Minority Report: Everybody Runs","Action/Beat 'em up","Treyarch","Activision","November 6, 2002","Unreleased","November 18, 2002"
"505","Mission Impossible: Operation Surma","Action-Adventure/Stealth","Paradigm Entertainment","Atari","December 5, 2003","Unreleased","December 2, 2003"
"506","MLB Slugfest 2003","Sports","Midway Games","Midway Games","Unreleased","Unreleased","August 26, 2002"
"507","MLB Slugfest 2004","Sports","Midway Games","Midway Games","Unreleased","Unreleased","March 17, 2003"
"508","MLB Slugfest 2006","Sports","Midway Games","Midway Games","Unreleased","Unreleased","June 5, 2006"
"509","MLB Slugfest: Loaded","Sports","Midway Games","Midway Games","Unreleased","Unreleased","June 21, 2004"
"510","Mojo!","Puzzle","Farsight Technologies","Crave Entertainment","March 26, 2004","Unreleased","August 26, 2003"
"511","Monopoly Party","Board Game","Runecraft","Infogrames","November 29, 2002","Unreleased","October 29, 2002"
"512","Monster 4x4: World Circuit","Racing","Ubisoft","Ubisoft","Unreleased","Unreleased","March 23, 2006"
"513","Monster Garage","Racing","Impulse Games","Activision","Unreleased","Unreleased","November 3, 2004"
"514","Mortal Kombat: Armageddon","Fighting","Midway Games","Midway Games","Unreleased","Unreleased","October 17, 2006"
"515","Mortal Kombat: Deadly Alliance","Fighting","Midway Games","Midway Games","February 14, 2003","Unreleased","November 18, 2002"
"516","Mortal Kombat: Deception","Fighting","Midway Games","Midway Games","November 19, 2004","Unreleased","October 4, 2004"
"517","Mortal Kombat: Shaolin Monks","Fighting","Midway L.A.","Midway Games","September 30, 2005","Unreleased","September 16, 2005"
"518","Motocross Mania 3","Racing","Deibus Studios","2K Games, Global Star Software","April 22, 2005","Unreleased","April 27, 2005"
"519","MotoGP","Racing","Climax Studios","THQ","June 7, 2002","Unreleased","April 19, 2002"
"520","MotoGP 2","Racing","Climax Studios","THQ","May 29, 2003","Unreleased","May 21, 2003"
"521","MotoGP 3","Racing","Climax Studios","THQ","September 9, 2005","Unreleased","August 30, 2005"
"522","MTV Music Generator 3: This is the Remix","Music/Rhythm","Mixmax","Codemasters","June 24, 2004","Unreleased","June 22, 2004"
"523","MTX: Mototrax","Racing (Motocross)","Left Field Productions","Activision","March 26, 2004","Unreleased","March 2, 2004"
"524","Murakumo: Renegade Mech Pursuit","Rail Shooter/Mecha","FromSoftware","Ubisoft","Unreleased","Unreleased","March 5, 2003"
"525","Muzzle Flash","Third-person shooter","Beyond Interactive","Victor Interactive Software","Unreleased","February 27, 2003","Unreleased"
"526","MVP 06: NCAA Baseball","Sports","EA Canada","EA Sports","Unreleased","Unreleased","January 18, 2006"
"527","MVP Baseball 2003","Sports","EA Sports","EA Sports","Unreleased","Unreleased","March 10, 2003"
"528","MVP Baseball 2004","Sports","EA Sports","EA Sports","Unreleased","Unreleased","March 9, 2004"
"529","MVP Baseball 2005","Sports","EA Sports","EA Sports","Unreleased","Unreleased","February 22, 2005"
"530","MX 2002","Racing","Pacific Coast Power & Light","THQ","April 26, 2002","Unreleased","December 6, 2001"
"531","MX Superfly","Racing","Pacific Coast Power & Light","THQ","March 21, 2003","Unreleased","November 20, 2002"
"532","MX Unleashed","Racing","Rainbow Studios","THQ","March 26, 2004","Unreleased","February 17, 2004"
"533","MX vs. ATV Unleashed","Racing","Rainbow Studios","THQ","June 24, 2005","Unreleased","March 24, 2005"
"534","MX World Tour Featuring Jamie Little","Sports","Impulse Games","Crave Entertainment","Unreleased","Unreleased","April 6, 2005"
"535","Myst III: Exile","Point and Click","Presto Studios","Ubisoft","October 4, 2002","Unreleased","September 17, 2002"
"536","Myst IV: Revelation","Point and Click","Ubisoft Montreal","Ubisoft","Unreleased","Unreleased","March 20, 2005"
"537","N.U.D.E.@ Natural Ultimate Digital Experiment","Life Simulation","RED Entertainment","Xbox Game Studios","Unreleased","April 24, 2003","Unreleased"
"538","Nakashima Tetsuya no Othello Seminar","Tabletop game","Success","Success","Unreleased","June 13, 2002","Unreleased"
"539","Namco Museum","Arcade Compilations","Mass Media Inc.","Namco","Unreleased","Unreleased","October 9, 2002"
"540","Namco Museum 50th Anniversary","Arcade Compilations","Namco","Namco","November 11, 2005","Unreleased","August 30, 2005"
"541","Narc","Action-Adventure","Point of View","Midway Games","May 20, 2005","Unreleased","May 19, 2005"
"542","NASCAR 06: Total Team Control","Racing","EA Sports","EA Sports","October 21, 2005","Unreleased","August 30, 2005"
"543","NASCAR 07","Racing","EA Sports","EA Sports","Unreleased","Unreleased","September 6, 2006"
"544","NASCAR 2005: Chase for the Cup","Racing","EA Tiburon","EA Sports","Unreleased","Unreleased","August 31, 2004"
"545","NASCAR Heat 2002","Racing","Monster Games","Infogrames","Unreleased","Unreleased","November 15, 2001"
"546","NASCAR Thunder 2002","Racing","EA Sports","EA Sports","Unreleased","Unreleased","November 15, 2001"
"547","NASCAR Thunder 2003","Racing","EA Sports","EA Sports","Unreleased","Unreleased","September 19, 2002"
"548","NASCAR Thunder 2004","Racing","EA Sports","EA Sports","Unreleased","Unreleased","September 16, 2003"
"549","NBA 2K2","Sports","Visual Concepts","Sega","Unreleased","Unreleased","February 27, 2002"
"550","NBA 2K3","Sports","Visual Concepts","Sega","December 20, 2002","Unreleased","October 9, 2002"
"551","NBA 2K6","Sports","Visual Concepts","2K Sports","March 10, 2006","Unreleased","September 26, 2005"
"552","NBA 2K7","Sports","Visual Concepts, Kush Games","2K Sports","November 3, 2006","Unreleased","September 25, 2006"
"553","NBA Ballers","Sports","Midway Games","Midway Games","Unreleased","Unreleased","April 5, 2004"
"554","NBA Ballers: Phenom","Sports","Midway Games","Midway Games","Unreleased","Unreleased","March 29, 2006"
"555","NBA Inside Drive 2002","Sports","High Voltage Software","Xbox Game Studios","May 15, 2002","Unreleased","January 21, 2002"
"556","NBA Inside Drive 2003","Sports","High Voltage Software","Xbox Game Studios","December 6, 2002","Unreleased","October 31, 2002"
"557","NBA Inside Drive 2004","Sports","High Voltage Software","Xbox Game Studios","November 28, 2003","January 22, 2004","November 18, 2003"
"558","NBA Jam","Sports","Acclaim Studios Austin","Acclaim Entertainment","November 13, 2003","Unreleased","September 23, 2003"
"559","NBA Live 06","Sports","EA Canada","EA Sports","October 28, 2005","December 15, 2005","September 26, 2005"
"560","NBA Live 07","Sports","EA Sports","EA Sports","October 6, 2006","December 21, 2006","September 25, 2006"
"561","NBA Live 2002","Sports","EA Games","EA Games","March 14, 2002","March 7, 2002","November 18, 2001"
"562","NBA Live 2003","Sports","EA Canada","EA Sports","February 7, 2003","November 29, 2002","October 8, 2002"
"563","NBA Live 2004","Sports","EA Sports","EA Sports","October 23, 2003","Unreleased","October 14, 2003"
"564","NBA Live 2005","Sports","EA Canada","EA Sports","September 29, 2004","Unreleased","September 28, 2004"
"565","NBA Starting Five","Sports","Konami","Konami","Unreleased","Unreleased","October 28, 2002"
"566","NBA Street V3","Sports","EA Canada","EA Sports BIG","February 18, 2005","Unreleased","February 8, 2005"
"567","NBA Street Vol. 2","Sports","EA Games","EA Games","May 2, 2003","Unreleased","April 28, 2003"
"568","NCAA College Basketball 2K3","Sports","Kush Games","Sega","Unreleased","Unreleased","December 2, 2002"
"569","NCAA College Football 2K3","Sports","Visual Concepts","Sega","Unreleased","Unreleased","August 13, 2002"
"570","NCAA Football 06","Sports","EA Sports","EA Sports","Unreleased","Unreleased","July 11, 2005"
"571","NCAA Football 07","Sports","EA Sports","EA Sports","Unreleased","Unreleased","July 18, 2006"
"572","NCAA Football 08","Sports","EA Sports","EA Sports","Unreleased","Unreleased","July 17, 2007"
"573","NCAA Football 2003","Sports","EA Sports","EA Sports","Unreleased","Unreleased","July 23, 2002"
"574","NCAA Football 2004","Sports","EA Sports","EA Sports","Unreleased","Unreleased","July 16, 2003"
"575","NCAA Football 2005","Sports","EA Sports","EA Sports","Unreleased","Unreleased","July 15, 2004"
"576","NCAA March Madness 06","Sports","EA Sports","EA Sports","Unreleased","Unreleased","October 11, 2005"
"577","NCAA March Madness 2004","Sports","EA Sports","EA Games","Unreleased","Unreleased","November 17, 2003"
"578","NCAA March Madness 2005","Sports","EA Canada","EA Sports","Unreleased","Unreleased","November 17, 2004"
"579","Need for Speed: Carbon","Racing","EA Canada","EA Games","November 10, 2006","Unreleased","October 31, 2006"
"580","Need for Speed: Hot Pursuit 2","Racing","EA Seattle","EA Games","October 25, 2002","Unreleased","October 1, 2002"
"581","Need for Speed: Most Wanted","Racing","EA Canada","EA Games","November 25, 2005","Unreleased","November 15, 2005"
"582","Need for Speed: Underground","Racing","EA Games","EA Games","November 21, 2003","Unreleased","November 17, 2003"
"583","Need for Speed: Underground 2","Racing","EA Canada","EA Games","November 19, 2004","Unreleased","November 15, 2004"
"584","Neighbours from Hell","Puzzle/Strategy","JoWooD Vienna","JoWooD Productions","March 4, 2005","Unreleased","Unreleased"
"585","New Legends","Action-Adventure/Hack and slash","Infinite Machine","THQ","May 17, 2002","Unreleased","February 17, 2002"
"586","NFL 2K2","Sports","Visual Concepts","Sega","Unreleased","Unreleased","January 9, 2002"
"587","NFL 2K3","Sports","Visual Concepts","Sega","December 20, 2002","Unreleased","August 12, 2002"
"588","NFL Blitz 2002","Sports","Point of View, Inc.","Midway Games","Unreleased","Unreleased","March 18, 2002"
"589","NFL Blitz 2003","Sports","Point of View, Inc.","Midway Games","Unreleased","Unreleased","August 12, 2002"
"590","NFL Blitz Pro","Sports","Midway Games","Midway Games","Unreleased","Unreleased","November 4, 2003"
"591","NFL Fever 2002","Sports","Xbox Game Studios","Xbox Game Studios","Unreleased","Unreleased","November 15, 2001"
"592","NFL Fever 2003","Sports","Xbox Game Studios","Xbox Game Studios","October 31, 2002","Unreleased","August 5, 2002"
"593","NFL Fever 2004","Sports","Xbox Game Studios","Xbox Game Studios","October 23, 2003","September 19, 2003","August 27, 2003"
"594","NFL Head Coach","Sports","EA Tiburon","EA Sports","Unreleased","Unreleased","June 20, 2006"
"595","NFL Street","Sports","EA Tiburon","EA Sports BIG","January 30, 2004","Unreleased","January 13, 2004"
"596","NFL Street 2","Sports","EA Tiburon","EA Sports BIG","January 28, 2005","Unreleased","December 22, 2004"
"597","NHL 06","Sports","EA Canada","EA Sports","September 23, 2005","Unreleased","September 6, 2005"
"598","NHL 07","Sports","EA Sports","EA Sports","September 22, 2006","Unreleased","September 12, 2006"
"599","NHL 2002","Sports","EA Sports","EA Sports","March 14, 2002","Unreleased","December 10, 2001"
"600","NHL 2003","Sports","EA Sports","EA Sports","October 25, 2002","Unreleased","October 9, 2002"
"601","NHL 2004","Sports","EA Sports","EA Sports","October 3, 2003","Unreleased","September 22, 2003"
"602","NHL 2005","Sports","EA Sports","EA Sports","Unreleased","Unreleased","September 20, 2004"
"603","NHL 2K3","Sports","Treyarch","Sega","Unreleased","Unreleased","November 19, 2003"
"604","NHL 2K6","Sports","Kush Games","2K Sports","March 10, 2006","Unreleased","September 6, 2005"
"605","NHL 2K7","Sports","Kush Games, Visual Concepts","2K Sports","October 6, 2006","Unreleased","September 12, 2006"
"606","NHL Hitz 20-02","Sports","Black Box Games","Midway Games","March 14, 2002","Unreleased","November 15, 2001"
"607","NHL Hitz 20-03","Sports","Midway Games","Midway Games","November 1, 2002","Unreleased","September 16, 2002"
"608","NHL Hitz Pro","Sports","Next Level Games","Midway Games","November 14, 2003","Unreleased","September 25, 2003"
"609","NHL Rivals 2004","Sports","Xbox Game Studios","Xbox Game Studios","December 27, 2003","Unreleased","November 18, 2003"
"610","Nickelodeon Party Blast","Party game","Data Design Interactive","Infogrames","December 6, 2002","Unreleased","October 30, 2002"
"611","NightCaster","Action-Adventure","VR-1","Xbox Game Studios","May 28, 2002","Unreleased","January 21, 2002"
"612","NightCaster II: Equinox","Action-Adventure","Jaleco","Jaleco","June 6, 2003","Unreleased","December 10, 2002"
"613","Ninja Gaiden","Action-Adventure/Hack and slash","Team Ninja","Tecmo","May 14, 2004","March 11, 2004","March 2, 2004"
"614","Ninja Gaiden Black","Action-Adventure/Hack and slash","Team Ninja","Xbox Game Studios","October 21, 2005","September 29, 2005","September 20, 2005"
"615","Nobunaga no Yabou: Ranseiki","Turn-based strategy/RPG","Koei","Koei","Unreleased","February 22, 2002","Unreleased"
"616","ObsCure","Survival Horror","Hydravision Entertainment","DreamCatcher Interactive","October 1, 2004","Unreleased","April 6, 2005"
"617","Oddworld: Munch's Oddysee","Platformer","Oddworld Inhabitants","Infogrames","March 14, 2002","Unreleased","November 15, 2001"
"618","Oddworld: Stranger's Wrath","First-person shooter/Third-person shooter/Action-Adventure","Oddworld Inhabitants","EA Games","March 3, 2005","Unreleased","January 25, 2005"
"619","Open Season","Action-Adventure","Ubisoft","Ubisoft","October 6, 2006","Unreleased","September 19, 2006"
"620","Operation Flashpoint: Elite","Tactical shooter","Bohemia Interactive","Codemasters","October 28, 2005","Unreleased","November 8, 2005"
"621","Otogi: Myth of Demons","Hack and slash","FromSoftware","Sega","September 5, 2003","December 12, 2002","August 27, 2003"
"622","Otogi 2: Immortal Warriors","Hack and slash","FromSoftware","Sega","February 11, 2004","December 25, 2003","October 19, 2004"
"623","Outlaw Golf","Sports","Simon & Schuster","Simon & Schuster","November 29, 2002","Unreleased","June 10, 2002"
"624","Outlaw Golf 2","Sports","Hypnotix","Global Star Software","January 28, 2005","Unreleased","October 21, 2004"
"625","Outlaw Golf: 9 Holes of X-Mas","Sports","Simon & Schuster","Simon & Schuster","Unreleased","Unreleased","December 13, 2002"
"626","Outlaw Golf: 9 More Holes of X-Mas","Sports","Hypnotix","Simon & Schuster","Unreleased","Unreleased","November 15, 2003"
"627","Outlaw Golf: Holiday Golf","Sports","Simon & Schuster","Simon & Schuster","Unreleased","Unreleased","December 13, 2002"
"628","Outlaw Tennis","Sports","Hypnotix","Global Star Software","July 29, 2005","Unreleased","July 26, 2005"
"629","Outlaw Volleyball","Sports","Hypnotix","Simon & Schuster","November 7, 2003","October 23, 2003","July 9, 2003"
"630","Outlaw Volleyball: Red Hot","Sports","Hypnotix","Simon & Schuster","Unreleased","Unreleased","October 1, 2003"
"631","OutRun 2","Racing","Sumo Digital","Xbox Game Studios","October 1, 2004","Unreleased","October 25, 2004"
"632","OutRun 2006: Coast 2 Coast","Racing","Sumo Digital","Sega","March 31, 2006","Unreleased","March 17, 2006"
"633","Over the Hedge","Action","Edge of Reality","Activision","June 23, 2006","Unreleased","May 9, 2006"
"634","Pac-Man World 2","Platformer","Namco","Namco","October 15, 2002","Unreleased","October 15, 2002"
"635","Pac-Man World 3","Platformer","Blitz Games","NamcoElectronic Arts","May 5, 2006","Unreleased","November 17, 2005"
"636","Painkiller: Hell Wars","First-person shooter","People Can Fly","DreamCatcher Interactive","July 7, 2006","Unreleased","July 24, 2006"
"637","Panzer Dragoon Orta","Rail Shooter","Smilebit","Sega","April 21, 2003","December 19, 2002","January 14, 2003"
"638","Panzer Elite Action: Fields of Glory","Simulation/Vehicular combat","ZootFly","JoWooD Productions","June 2, 2006","Unreleased","Unreleased"
"639","Pariah","First-person shooter","Digital Extremes","Groove Games","May 6, 2005","Unreleased","May 3, 2005"
"640","Peter Jackson's King Kong","Action-Adventure","Ubisoft Montpellier","Ubisoft","November 17, 2005","December 15, 2005","November 21, 2005"
"641","Petit Copter","Simulation","Aqua Systems","Aqua Systems","Unreleased","May 30, 2002","Unreleased"
"642","Phantasy Star Online Episode I & II","Action RPG","Sonic Team","Sega","May 23, 2003","January 16, 2003","April 15, 2003"
"643","Phantom Crash","Vehicular combat","Genki","Phantagram","November 22, 2002","June 20, 2002","November 4, 2002"
"644","Phantom Dust","Action/Real-time strategy","Xbox Game Studios","Majesco Entertainment, Xbox Game Studios","Unreleased","September 23, 2004","March 15, 2005"
"645","Pilot Down: Behind Enemy Lines","Action-Adventure/Stealth","Wide Games","Microids","September 9, 2005","Unreleased","Unreleased"
"646","Pinball Hall of Fame","Pinball","FarSight Studios","Crave Entertainment","Unreleased","Unreleased","November 18, 2004"
"647","Pirates of the Caribbean","Action/RPG","Akella","Bethesda Softworks","September 5, 2003","Unreleased","July 1, 2003"
"648","Pirates: Legend of the Black Buccaneer","Action-Adventure","WideScreen Games","10tacle Studios","August 15, 2006","Unreleased","Unreleased"
"649","Pirates: The Legend of Black Kat","Action-Adventure","Westwood Studios","Electronic Arts","April 19, 2002","Unreleased","February 17, 2002"
"650","Pitfall: The Lost Expedition","Action/Platformer","Edge of Reality","Activision","February 20, 2004","Unreleased","February 18, 2004"
"651","Playboy: The Mansion","Simulation","Cyberlore Studios","Arush Entertainment, Groove Games","March 4, 2005","Unreleased","January 25, 2005"
"652","Plus Plum 2","Puzzle","Tayuko","Tayuko","Unreleased","January 15, 2004","Unreleased"
"653","PocketBike Racer","Racing","Blitz Games","King Games","Unreleased","Unreleased","November 19, 2006"
"654","Pool Shark 2","Pool","Blade Interactive","Zoo Digital Publishing","November 19, 2004","Unreleased","Unreleased"
"655","Powerdrome","Racing","Argonaut Games","Mud Duck Productions","October 29, 2004","Unreleased","June 15, 2004"
"656","Predator: Concrete Jungle","Action","Eurocom","Vivendi Universal Games","April 15, 2005","Unreleased","April 26, 2005"
"657","Prince of Persia: The Sands of Time","Third-person Action-Adventure/Platformer/Hack and slash","Ubisoft Montreal","Ubisoft","February 20, 2004","Unreleased","November 12, 2003"
"658","Prince of Persia: The Two Thrones","Third-person Action-Adventure/Platformer/Hack and slash","Ubisoft Montreal","Ubisoft","December 9, 2005","Unreleased","December 1, 2005"
"659","Prince of Persia: Warrior Within","Third-person Action-Adventure/Platformer/Hack and slash","Ubisoft Montreal","Ubisoft","December 3, 2004","Unreleased","November 30, 2004"
"660","Prisoner of War","Stealth","Wide Games","Codemasters","July 19, 2002","Unreleased","August 26, 2002"
"661","Pro Cast Sports Fishing Lakemasters: Bass Fishing Game (JP)","Fishing","Capcom","Capcom","September 26, 2003","July 17, 2003","August 27, 2003"
"662","Pro Fishing Challenge","Fishing","Opus Company","Atlus","Unreleased","Unreleased","August 31, 2004"
"663","Pro Race Driver","Racing","Codemasters","Codemasters","March 28, 2003","Unreleased","April 16, 2003"
"664","Project Gotham Racing","Racing","Bizarre Creations","Xbox Game Studios","March 14, 2002","February 22, 2002","November 15, 2001"
"665","Project Gotham Racing 2","Racing","Bizarre Creations","Xbox Game Studios","November 28, 2003","Unreleased","November 17, 2003"
"666","Project Snowblind","First-person shooter","Crystal Dynamics","Eidos Interactive","March 11, 2005","Unreleased","February 23, 2005"
"667","ProStroke Golf: World Tour 2007","Sports","Gusto Games","Oxygen Interactive","Unreleased","Unreleased","September 12, 2006"
"668","Psi-Ops: The Mindgate Conspiracy","Third-person shooter","Midway Games","Midway Games","October 1, 2004","November 10, 2005","June 14, 2004"
"669","Psychonauts","Platformer","Double Fine Productions","Majesco Entertainment","February 10, 2006","Unreleased","April 19, 2005"
"670","Psyvariar 2","Shoot'em up","SKONEC Entertainment","Success Corporation","Unreleased","October 28, 2004","Unreleased"
"671","Pulse Racer","Racing","Jaleco","Jaleco","Unreleased","Unreleased","January 2, 2003"
"672","Pump It Up: Exceed","Music/Rhythm","Andamiro","Mastiff","Unreleased","Unreleased","August 29, 2005"
"673","The Punisher","Third-person Action-Adventure/Third-person shooter/Stealth","Volition","THQ","March 4, 2005","Unreleased","January 17, 2005"
"674","Pure Pinball","Pinball","Iridon","XS Games","Unreleased","Unreleased","August 5, 2004"
"675","Puyo Pop: Fever","Puzzle","Sonic Team","Sega","February 27, 2004","April 24, 2004","Unreleased"
"676","Quantum Redshift","Racing","Curly Monsters","Xbox Game Studios","October 4, 2002","November 21, 2002","September 16, 2002"
"677","R: Racing Evolution","Racing","Namco","Namco","April 2, 2004","November 27, 2003","December 9, 2003"
"678","Rallisport Challenge","Racing","Digital Illusions CE","Xbox Game Studios","March 14, 2002","June 13, 2002","March 4, 2002"
"679","RalliSport Challenge 2","Racing","Digital Illusions CE","Xbox Game Studios","May 21, 2004","June 10, 2004","May 4, 2004"
"680","Rally Fusion: Race of Champions","Racing","Climax Studios","Activision","November 22, 2002","Unreleased","November 11, 2002"
"681","Rapala Pro Fishing","Fishing","Fun Labs","Activision","August 4, 2005","May 5, 2005","August 31, 2004"
"682","Ratatouille","Platformer","Heavy Iron Studios","THQ","Unreleased","Unreleased","June 26, 2007"
"683","Rayman 3: Hoodlum Havoc","Platformer","Ubisoft","Ubisoft","March 14, 2003","Unreleased","March 18, 2003"
"684","Rayman Arena","Racing/Party game","Ubisoft","Ubisoft","Unreleased","Unreleased","September 24, 2002"
"685","Raze's Hell","Third-person shooter","Artech Studios","Majesco Entertainment","October 14, 2005","Unreleased","April 21, 2005"
"686","Real World Golf","Sports","In2Games","Mad Katz","Unreleased","Unreleased","April 11, 2006"
"687","Red Dead Revolver","Action-Adventure/Third-person shooter","Rockstar San Diego","Rockstar Games","June 11, 2004","May 26, 2005","May 3, 2004"
"688","Red Faction II","First-person shooter","Volition","THQ","June 6, 2003","Unreleased","March 31, 2003"
"689","Red Ninja: End of Honor","Stealth/Action","Tranji Studios","Vivendi Universal Games","April 1, 2005","Unreleased","March 29, 2005"
"690","RedCard 20-03","Sports","Point of View","Midway Games","July 12, 2002","Unreleased","June 24, 2002"
"691","Reign of Fire","Action-Adventure","Kuju Entertainment","BAM! Entertainment","November 15, 2002","Unreleased","October 22, 2002"
"692","Rent-A-Hero No. 1","Action/RPG","Sega","AIA Games","Unreleased","September 4, 2003","Unreleased"
"693","Reservoir Dogs","Third-person shooter","Volatile Games","Eidos Interactive","August 25, 2006","Unreleased","October 24, 2006"
"694","Return to Castle Wolfenstein: Tides of War","First-person shooter","Gray Matter Interactive","Activision","May 15, 2003","Unreleased","May 6, 2003"
"695","Richard Burns Rally","Racing","Warthog Games","SCi","July 9, 2004","Unreleased","Unreleased"
"696","RLH: Run Like Hell","Third-person shooter","Digital Mayhem","Interplay Entertainment","June 18, 2004","Unreleased","April 9, 2003"
"697","RoadKill","Action/Vehicular combat","Midway Games","Midway Games","November 28, 2003","Unreleased","October 14, 2003"
"698","Robin Hood: Defender of the Crown","Turn-based strategy","Cinemaware","Zoo Digital Group, Capcom","November 28, 2003","Unreleased","November 11, 2003"
